State,Total_Revenue,Average_Discount,Number_of_Customers,Order_Date
NY,16647.45,0.12,3,2016-02-21
TX,2100.92,0.08,1,2016-02-21
NY,1337.08,0.09,1,2016-02-23
CA,3475.84,0.07,1,2016-02-25
NY,1619.99,0.1,1,2016-02-25
CA,4633.85,0.1,1,2016-02-26
CA,4689.46,0.13,1,2016-02-27
NY,7727.45,0.12,2,2016-02-27
NY,4506.1,0.14,2,2016-02-28
TX,9301.93,0.14,1,2016-02-29
NY,12420.71,0.13,1,2016-03-01
TX,879.98,0.2,1,2016-03-01
NY,754.58,0.06,1,2016-03-02
CA,8062.12,0.1,1,2016-03-03
NY,7867.76,0.09,2,2016-03-03
TX,872.08,0.1,1,2016-03-04
CA,845.18,0.15,1,2016-03-06
NY,4078.13,0.08,2,2016-03-06
TX,242.99,0.1,1,2016-03-06
NY,1265.97,0.09,1,2016-03-07
NY,10021.33,0.12,3,2016-03-08
NY,620.09,0.15,1,2016-03-09
NY,2214.51,0.11,2,2016-03-10
CA,5909.61,0.08,1,2016-03-12
NY,474.99,0.05,1,2016-03-12
NY,15467.31,0.09,3,2016-03-14
NY,989.98,0.1,1,2016-03-15
CA,10866.96,0.06,1,2016-03-16
NY,6086.08,0.08,2,2016-03-16
TX,6332.94,0.08,1,2016-03-17
NY,8309.93,0.15,1,2016-03-18
NY,6131.12,0.08,2,2016-03-19
TX,6815.95,0.12,1,2016-03-19
CA,4694.96,0.07,1,2016-03-20
NY,3767.29,0.1,2,2016-03-20
NY,4475.46,0.09,1,2016-03-21
TX,8299.97,0.13,1,2016-03-21
NY,6213.04,0.13,4,2016-03-23
NY,359.2,0.2,1,2016-03-25
CA,4523.33,0.09,1,2016-03-26
NY,3795.97,0.13,2,2016-03-26
NY,6744.77,0.15,1,2016-03-27
CA,4765.43,0.1,1,2016-03-28
NY,2741.64,0.1,3,2016-03-28
CA,6655.03,0.11,2,2016-03-29
NY,2299.95,0.16,1,2016-03-29
NY,3238.96,0.06,1,2016-03-30
CA,494.99,0.1,1,2016-03-31
NY,1619.99,0.1,1,2016-04-02
CA,1970.59,0.11,1,2016-04-03
TX,10049.97,0.09,1,2016-04-03
CA,215.99,0.2,1,2016-04-04
NY,12521.47,0.07,2,2016-04-04
TX,494.99,0.1,1,2016-04-04
CA,2719.73,0.08,1,2016-04-06
NY,854.19,0.15,1,2016-04-06
NY,8696.07,0.07,1,2016-04-07
CA,6462.46,0.1,1,2016-04-08
NY,14007.64,0.11,2,2016-04-08
CA,5004.6,0.11,1,2016-04-09
NY,10997.46,0.11,2,2016-04-10
CA,1709.99,0.05,1,2016-04-11
NY,758.98,0.14,1,2016-04-11
TX,1876.46,0.1,1,2016-04-11
NY,1240.18,0.15,1,2016-04-12
NY,3292.43,0.12,1,2016-04-13
NY,5224.55,0.11,1,2016-04-15
CA,1079.98,0.1,1,2016-04-16
NY,4318.45,0.11,1,2016-04-16
NY,3930.13,0.12,2,2016-04-17
CA,4877.41,0.1,1,2016-04-18
NY,1972.96,0.06,1,2016-04-18
NY,8302.98,0.11,2,2016-04-19
CA,2249.98,0.08,1,2016-04-20
NY,3032.98,0.1,1,2016-04-21
NY,8694.92,0.06,2,2016-04-22
CA,959.98,0.2,1,2016-04-23
NY,2546.47,0.15,1,2016-04-23
CA,5989.94,0.08,1,2016-04-27
NY,7918.84,0.1,1,2016-04-27
CA,989.98,0.1,1,2016-04-28
NY,14526.32,0.12,3,2016-04-28
NY,6034.97,0.14,1,2016-04-30
NY,10986.75,0.09,3,2016-05-01
TX,4616.01,0.1,1,2016-05-01
CA,4038.5,0.06,1,2016-05-03
TX,3891.51,0.11,1,2016-05-03
NY,3149.34,0.08,2,2016-05-04
TX,954.98,0.13,1,2016-05-04
NY,12461.55,0.11,1,2016-05-05
NY,10620.04,0.08,1,2016-05-06
NY,3761.62,0.1,3,2016-05-07
NY,5600.06,0.14,1,2016-05-08
TX,242.99,0.1,1,2016-05-08
NY,1650.54,0.09,2,2016-05-10
CA,1625.96,0.08,1,2016-05-11
NY,3591.27,0.09,1,2016-05-11
NY,7194.28,0.1,3,2016-05-12
CA,3126.64,0.07,1,2016-05-13
NY,2744.08,0.1,1,2016-05-13
NY,10216.24,0.09,1,2016-05-15
CA,10071.74,0.1,3,2016-05-17
NY,7765.4,0.11,2,2016-05-17
NY,13637.95,0.15,3,2016-05-19
CA,7967.41,0.07,1,2016-05-20
NY,2748.75,0.12,1,2016-05-21
NY,8069.66,0.1,1,2016-05-22
NY,8550.05,0.06,1,2016-05-24
NY,10895.4,0.11,2,2016-05-25
NY,6089.93,0.12,1,2016-05-26
NY,10527.63,0.11,3,2016-05-27
TX,16789.62,0.07,2,2016-05-27
NY,1060.55,0.12,1,2016-05-28
NY,4563.09,0.08,1,2016-05-29
CA,1264.98,0.14,1,2016-05-30
NY,4795.47,0.14,2,2016-05-30
NY,13529.92,0.09,3,2016-06-01
TX,6126.87,0.09,1,2016-06-01
NY,3126.64,0.07,1,2016-06-02
NY,6391.51,0.11,2,2016-06-03
NY,1769.38,0.08,1,2016-06-04
CA,7045.16,0.12,1,2016-06-05
NY,14786.21,0.12,3,2016-06-06
CA,2155.17,0.08,1,2016-06-08
TX,6397.47,0.06,1,2016-06-08
NY,5014.96,0.11,1,2016-06-09
CA,5098.14,0.11,1,2016-06-10
NY,6508.36,0.13,2,2016-06-10
CA,16415.39,0.11,2,2016-06-11
NY,4440.02,0.09,2,2016-06-12
NY,11462.6,0.08,1,2016-06-13
NY,2958.3,0.07,1,2016-06-15
NY,242.99,0.1,1,2016-06-16
NY,18150.37,0.07,2,2016-06-17
NY,7587.52,0.11,1,2016-06-18
NY,2197.95,0.17,1,2016-06-19
CA,4692.86,0.1,1,2016-06-20
NY,10474.11,0.07,3,2016-06-21
TX,11013.93,0.07,1,2016-06-22
CA,3809.97,0.13,1,2016-06-23
NY,1359.98,0.2,1,2016-06-23
CA,2337.46,0.07,1,2016-06-25
NY,21267.03,0.11,3,2016-06-25
NY,1034.28,0.16,1,2016-06-27
NY,4095.01,0.08,1,2016-06-28
NY,1395.16,0.06,1,2016-06-29
TX,6448.29,0.07,1,2016-06-29
NY,1229.09,0.13,1,2016-06-30
NY,9477.34,0.14,2,2016-07-01
NY,11985.72,0.13,2,2016-07-04
TX,4624.94,0.12,1,2016-07-04
NY,16235.93,0.13,2,2016-07-05
NY,3604.59,0.12,2,2016-07-06
NY,17140.03,0.09,3,2016-07-07
NY,2497.27,0.11,2,2016-07-09
NY,6006.86,0.12,2,2016-07-11
CA,11479.54,0.14,1,2016-07-12
NY,2928.68,0.13,1,2016-07-12
NY,2687.14,0.06,1,2016-07-13
TX,5578.13,0.07,1,2016-07-14
NY,11950.48,0.1,1,2016-07-15
NY,4044.78,0.15,1,2016-07-16
NY,10153.83,0.13,3,2016-07-17
NY,3018.29,0.11,1,2016-07-18
CA,674.99,0.1,1,2016-07-19
NY,8745.18,0.15,3,2016-07-19
NY,8066.17,0.13,2,2016-07-20
TX,773.98,0.09,1,2016-07-20
NY,4029.06,0.06,1,2016-07-21
NY,845.98,0.1,1,2016-07-23
NY,7839.39,0.08,4,2016-07-24
NY,12789.13,0.1,3,2016-07-25
NY,6231.52,0.1,2,2016-07-26
CA,8534.37,0.07,1,2016-07-28
NY,1249.97,0.08,1,2016-07-28
NY,6416.59,0.07,1,2016-07-29
CA,569.98,0.05,1,2016-07-31
NY,9376.92,0.11,2,2016-07-31
NY,3138.8,0.1,2,2016-08-01
TX,2090.66,0.09,1,2016-08-01
NY,278.99,0.07,1,2016-08-02
TX,3495.66,0.06,1,2016-08-02
CA,10823.08,0.1,3,2016-08-03
NY,2760.77,0.2,2,2016-08-03
TX,1684.71,0.11,2,2016-08-03
NY,3581.46,0.05,1,2016-08-04
NY,5588.34,0.08,1,2016-08-05
TX,4678.76,0.06,1,2016-08-05
NY,20898.69,0.11,2,2016-08-07
NY,3403.85,0.08,1,2016-08-08
CA,697.49,0.07,1,2016-08-09
TX,1694.06,0.12,1,2016-08-11
NY,949.98,0.05,1,2016-08-12
NY,1022.98,0.07,1,2016-08-13
TX,3899.97,0.12,1,2016-08-13
NY,8727.3,0.11,2,2016-08-14
CA,2881.14,0.07,1,2016-08-15
NY,6825.95,0.14,2,2016-08-15
NY,8391.17,0.1,2,2016-08-16
CA,5114.09,0.09,1,2016-08-17
NY,12272.97,0.06,3,2016-08-17
TX,1139.98,0.05,1,2016-08-17
NY,3269.98,0.14,1,2016-08-18
NY,4266.05,0.06,2,2016-08-19
NY,24070.55,0.11,5,2016-08-20
TX,359.2,0.2,1,2016-08-20
TX,3430.96,0.11,1,2016-08-21
CA,8281.3,0.09,1,2016-08-22
TX,10574.96,0.06,1,2016-08-22
CA,2385.96,0.08,1,2016-08-23
TX,4810.56,0.11,1,2016-08-23
NY,751.98,0.2,1,2016-08-25
CA,1196.97,0.15,1,2016-08-26
NY,256.49,0.05,1,2016-08-26
NY,2501.76,0.12,1,2016-08-27
NY,3799.99,0.05,1,2016-08-28
CA,5080.62,0.09,1,2016-08-29
NY,8934.82,0.11,2,2016-08-29
NY,5391.08,0.12,2,2016-08-30
CA,8342.94,0.14,1,2016-08-31
NY,11910.31,0.13,3,2016-08-31
CA,3370.57,0.14,1,2016-09-01
NY,8849.32,0.1,2,2016-09-01
TX,1734.93,0.13,1,2016-09-01
CA,6335.05,0.08,2,2016-09-02
NY,6659.96,0.07,1,2016-09-02
NY,9576.9,0.11,3,2016-09-03
CA,1990.16,0.07,1,2016-09-04
NY,1092.48,0.05,1,2016-09-04
TX,2849.99,0.05,1,2016-09-04
CA,10151.49,0.14,2,2016-09-05
NY,6061.14,0.11,2,2016-09-06
CA,689.48,0.08,1,2016-09-08
NY,3315.8,0.07,2,2016-09-08
CA,3092.94,0.08,1,2016-09-09
NY,2329.58,0.2,1,2016-09-09
TX,10186.74,0.1,1,2016-09-10
NY,10695.19,0.14,2,2016-09-11
CA,10078.38,0.13,1,2016-09-12
NY,4477.17,0.15,1,2016-09-12
NY,7176.21,0.09,1,2016-09-13
TX,3533.03,0.05,1,2016-09-14
NY,7031.5,0.08,2,2016-09-16
TX,6872.94,0.07,1,2016-09-16
NY,14703.28,0.07,2,2016-09-17
CA,988.48,0.09,1,2016-09-18
NY,4562.88,0.14,2,2016-09-18
CA,5395.24,0.1,1,2016-09-19
NY,5329.95,0.15,2,2016-09-19
TX,8083.96,0.07,1,2016-09-20
NY,14069.37,0.07,4,2016-09-21
NY,14551.87,0.11,2,2016-09-22
NY,5282.93,0.07,2,2016-09-23
TX,1076.93,0.07,1,2016-09-23
CA,9278.65,0.11,1,2016-09-24
NY,5999.83,0.16,2,2016-09-25
TX,4067.66,0.11,1,2016-09-25
NY,7601.15,0.1,1,2016-09-26
NY,989.98,0.1,1,2016-09-27
TX,502.18,0.07,1,2016-09-27
NY,15706.21,0.12,3,2016-09-28
TX,4654.95,0.08,1,2016-09-28
CA,9497.17,0.08,1,2016-09-29
NY,6784.96,0.12,1,2016-09-29
CA,4292.0,0.11,2,2016-09-30
NY,1520.96,0.09,2,2016-09-30
CA,2197.89,0.13,1,2016-10-01
NY,11566.7,0.12,2,2016-10-01
CA,1894.54,0.08,1,2016-10-02
NY,502.18,0.07,1,2016-10-02
NY,6335.66,0.11,1,2016-10-03
CA,3816.46,0.06,1,2016-10-04
TX,6947.95,0.12,1,2016-10-04
NY,458.98,0.15,1,2016-10-05
CA,398.97,0.07,1,2016-10-06
NY,16286.03,0.09,5,2016-10-06
TX,3239.98,0.1,1,2016-10-06
NY,1525.15,0.08,1,2016-10-07
CA,6319.95,0.1,1,2016-10-08
CA,3405.54,0.07,2,2016-10-09
NY,269.99,0.1,1,2016-10-09
CA,3065.98,0.13,1,2016-10-10
NY,4040.0,0.12,3,2016-10-10
CA,3349.65,0.14,1,2016-10-11
NY,4589.04,0.09,2,2016-10-11
TX,256.49,0.05,1,2016-10-12
NY,1973.73,0.06,1,2016-10-13
CA,2414.96,0.08,1,2016-10-14
NY,4649.97,0.12,2,2016-10-14
CA,4776.04,0.07,1,2016-10-15
NY,6543.06,0.06,1,2016-10-15
NY,5989.97,0.13,1,2016-10-16
NY,386.1,0.1,1,2016-10-17
NY,755.97,0.08,1,2016-10-18
NY,10527.25,0.11,4,2016-10-19
NY,6679.95,0.07,2,2016-10-21
CA,8394.47,0.11,1,2016-10-22
NY,6065.45,0.09,1,2016-10-22
NY,9845.99,0.12,3,2016-10-23
NY,4503.75,0.11,1,2016-10-24
CA,7105.78,0.09,1,2016-10-25
CA,7848.26,0.08,1,2016-10-26
NY,4169.35,0.08,1,2016-10-26
CA,8359.22,0.14,1,2016-10-27
NY,6409.92,0.09,3,2016-10-28
TX,1720.97,0.16,1,2016-10-28
NY,15177.51,0.11,3,2016-10-29
TX,1485.46,0.08,1,2016-10-29
CA,5827.78,0.09,2,2016-10-31
NY,7387.14,0.11,2,2016-11-02
CA,2042.06,0.09,1,2016-11-03
CA,512.98,0.05,1,2016-11-04
NY,4918.37,0.15,1,2016-11-04
NY,3064.25,0.11,2,2016-11-06
TX,2793.05,0.14,1,2016-11-08
NY,3270.23,0.07,1,2016-11-09
TX,6782.76,0.12,1,2016-11-09
NY,4746.63,0.09,1,2016-11-11
NY,9823.02,0.15,3,2016-11-12
TX,8120.47,0.07,2,2016-11-12
CA,6756.46,0.11,1,2016-11-13
NY,6155.96,0.12,1,2016-11-13
TX,5179.97,0.15,1,2016-11-13
NY,6794.08,0.1,1,2016-11-14
NY,10372.09,0.07,1,2016-11-15
CA,8816.95,0.09,1,2016-11-16
NY,1649.97,0.08,1,2016-11-18
NY,4986.38,0.06,2,2016-11-19
NY,4502.5,0.13,2,2016-11-20
NY,4495.27,0.11,1,2016-11-21
CA,13103.45,0.14,2,2016-11-22
CA,2726.49,0.05,1,2016-11-23
NY,6650.39,0.1,2,2016-11-23
CA,5454.98,0.08,1,2016-11-24
NY,4725.55,0.14,2,2016-11-24
NY,5779.82,0.08,1,2016-11-26
CA,8533.96,0.12,2,2016-11-27
NY,6384.14,0.14,2,2016-11-27
TX,7975.97,0.13,1,2016-11-27
CA,7824.04,0.15,1,2016-11-30
CA,3347.98,0.07,1,2016-12-03
CA,3276.34,0.14,1,2016-12-04
NY,12615.85,0.12,4,2016-12-04
CA,1450.02,0.09,1,2016-12-06
NY,17659.9,0.08,5,2016-12-06
TX,3317.94,0.08,2,2016-12-07
CA,11687.59,0.07,2,2016-12-08
NY,2360.39,0.14,1,2016-12-08
CA,6868.95,0.07,1,2016-12-09
NY,20935.76,0.1,5,2016-12-09
NY,10825.45,0.13,2,2016-12-10
NY,5505.74,0.14,2,2016-12-11
CA,12334.96,0.13,1,2016-12-12
NY,6715.43,0.09,1,2016-12-12
NY,4436.6,0.08,1,2016-12-13
NY,1115.98,0.07,1,2016-12-15
NY,1364.94,0.12,1,2016-12-16
NY,6764.57,0.07,1,2016-12-17
CA,660.59,0.08,1,2016-12-18
TX,3502.49,0.08,1,2016-12-19
NY,1399.98,0.2,1,2016-12-20
NY,6310.15,0.11,2,2016-12-21
NY,2578.57,0.14,2,2016-12-22
NY,8486.21,0.1,2,2016-12-23
NY,3428.04,0.09,2,2016-12-24
CA,4186.53,0.11,1,2016-12-25
NY,6199.54,0.14,2,2016-12-25
CA,5789.36,0.07,2,2016-12-26
NY,3015.31,0.08,1,2016-12-26
CA,2008.76,0.07,1,2016-12-27
NY,4851.14,0.1,1,2016-12-27
TX,6068.95,0.16,1,2016-12-28
NY,6004.97,0.08,1,2016-12-29
NY,2754.99,0.05,1,2016-12-30
CA,527.98,0.2,1,2017-01-03
NY,3509.97,0.1,1,2017-01-03
NY,6349.36,0.1,1,2017-01-04
NY,14241.58,0.08,2,2017-01-06
CA,3695.47,0.15,1,2017-01-07
NY,836.98,0.07,1,2017-01-07
CA,712.49,0.05,1,2017-01-08
NY,18245.62,0.06,2,2017-01-08
CA,4269.96,0.13,1,2017-01-09
NY,1684.46,0.08,2,2017-01-09
CA,4466.65,0.08,1,2017-01-10
CA,799.99,0.2,1,2017-01-11
NY,2082.14,0.06,1,2017-01-11
TX,7130.54,0.13,1,2017-01-12
CA,7520.04,0.11,1,2017-01-14
NY,4497.0,0.09,1,2017-01-14
CA,225.89,0.1,1,2017-01-16
NY,1279.06,0.07,1,2017-01-16
CA,6912.17,0.05,1,2017-01-17
NY,26486.9,0.08,2,2017-01-17
NY,24328.9,0.11,2,2017-01-18
CA,7339.42,0.1,1,2017-01-19
CA,4464.66,0.11,1,2017-01-20
NY,13130.83,0.12,1,2017-01-20
NY,11488.93,0.11,2,2017-01-21
NY,1804.86,0.13,1,2017-01-22
TX,3658.18,0.08,1,2017-01-22
NY,1692.57,0.07,1,2017-01-23
NY,5154.15,0.11,1,2017-01-24
NY,6978.72,0.09,1,2017-01-25
NY,15439.95,0.11,1,2017-01-26
TX,2112.3,0.14,1,2017-01-26
NY,959.98,0.2,1,2017-01-27
NY,19735.73,0.1,3,2017-01-28
TX,2371.16,0.06,1,2017-01-28
CA,12002.93,0.11,2,2017-01-29
NY,14990.89,0.13,3,2017-01-29
NY,22488.06,0.08,2,2017-01-31
NY,2787.96,0.18,1,2017-02-01
CA,5382.05,0.1,1,2017-02-02
NY,2646.46,0.08,2,2017-02-02
CA,4195.31,0.13,1,2017-02-03
NY,7747.74,0.14,1,2017-02-04
CA,18539.48,0.12,2,2017-02-05
NY,19084.56,0.12,3,2017-02-05
CA,2509.88,0.05,1,2017-02-06
TX,15894.29,0.11,2,2017-02-06
NY,10399.97,0.13,1,2017-02-07
TX,104.49,0.05,1,2017-02-07
CA,3243.75,0.07,1,2017-02-08
NY,18159.31,0.13,3,2017-02-08
CA,2717.96,0.12,1,2017-02-09
NY,5416.44,0.08,1,2017-02-09
CA,5959.07,0.12,1,2017-02-10
NY,7157.35,0.06,1,2017-02-11
NY,15223.79,0.13,2,2017-02-13
TX,10572.77,0.13,2,2017-02-13
NY,335.98,0.2,1,2017-02-14
NY,31528.98,0.11,3,2017-02-15
NY,15685.69,0.1,4,2017-02-16
NY,2319.75,0.07,1,2017-02-18
NY,14103.36,0.1,4,2017-02-19
TX,1856.61,0.06,1,2017-02-19
CA,10541.96,0.08,1,2017-02-20
NY,611.98,0.1,1,2017-02-20
NY,6196.64,0.08,1,2017-02-21
TX,4334.06,0.16,1,2017-02-25
NY,13469.44,0.1,2,2017-02-26
TX,2230.55,0.14,1,2017-02-26
NY,19967.37,0.11,2,2017-02-27
TX,3631.72,0.09,1,2017-02-27
CA,5812.55,0.11,1,2017-02-28
NY,4971.94,0.15,2,2017-02-28
TX,17582.52,0.06,2,2017-02-28
NY,3061.03,0.12,3,2017-03-01
CA,269.99,0.1,1,2017-03-02
CA,2426.99,0.11,1,2017-03-03
TX,4064.84,0.11,1,2017-03-03
NY,10269.86,0.11,1,2017-03-04
TX,1755.37,0.08,1,2017-03-04
CA,1652.98,0.05,1,2017-03-05
NY,13520.03,0.11,2,2017-03-05
CA,6468.23,0.09,1,2017-03-06
NY,16613.35,0.08,3,2017-03-06
TX,2681.16,0.1,1,2017-03-06
NY,9694.35,0.09,3,2017-03-07
NY,930.98,0.05,1,2017-03-08
TX,692.08,0.09,1,2017-03-08
CA,10968.05,0.11,2,2017-03-09
NY,14378.45,0.11,4,2017-03-09
TX,5922.91,0.13,1,2017-03-09
CA,583.98,0.2,1,2017-03-11
NY,2519.41,0.1,2,2017-03-11
NY,13499.78,0.09,2,2017-03-12
NY,14861.73,0.17,2,2017-03-13
NY,22033.14,0.13,4,2017-03-15
TX,754.48,0.08,1,2017-03-15
CA,1818.45,0.1,1,2017-03-16
NY,1847.06,0.12,1,2017-03-16
CA,9274.97,0.11,1,2017-03-18
NY,723.89,0.05,1,2017-03-18
TX,14402.35,0.1,2,2017-03-18
NY,7999.54,0.11,2,2017-03-19
NY,3489.97,0.14,1,2017-03-20
NY,8109.95,0.17,1,2017-03-22
NY,10133.85,0.07,3,2017-03-23
TX,751.98,0.2,1,2017-03-23
NY,14735.42,0.07,1,2017-03-24
CA,4100.44,0.09,1,2017-03-26
CA,17580.72,0.08,1,2017-03-27
NY,5851.93,0.07,1,2017-03-27
CA,316.19,0.07,1,2017-03-28
NY,9157.76,0.1,1,2017-03-28
TX,2843.07,0.06,1,2017-03-28
NY,20637.99,0.11,2,2017-03-29
NY,11813.95,0.14,2,2017-03-30
NY,3699.29,0.09,2,2017-03-31
NY,9557.83,0.12,2,2017-04-01
TX,10699.97,0.12,2,2017-04-01
NY,1754.15,0.11,1,2017-04-02
CA,2259.34,0.14,1,2017-04-03
NY,1863.97,0.15,1,2017-04-03
NY,9388.55,0.06,2,2017-04-04
TX,199.99,0.2,1,2017-04-04
NY,2679.95,0.11,2,2017-04-05
NY,1208.48,0.13,1,2017-04-06
TX,11349.96,0.16,1,2017-04-06
CA,377.98,0.1,1,2017-04-07
NY,12716.73,0.16,3,2017-04-07
NY,7664.73,0.15,2,2017-04-09
NY,9695.88,0.14,3,2017-04-11
NY,4890.85,0.09,2,2017-04-12
CA,1885.88,0.11,1,2017-04-13
NY,7513.95,0.14,2,2017-04-13
NY,5220.47,0.08,1,2017-04-14
CA,12307.96,0.07,1,2017-04-15
NY,15757.28,0.12,3,2017-04-15
NY,12520.45,0.11,2,2017-04-16
NY,14148.38,0.1,2,2017-04-17
NY,13517.42,0.12,2,2017-04-18
CA,3776.41,0.1,2,2017-04-19
NY,999.48,0.13,1,2017-04-20
TX,15730.02,0.13,2,2017-04-21
NY,1079.07,0.15,2,2017-04-22
NY,1044.98,0.05,1,2017-04-23
NY,799.99,0.2,1,2017-04-24
NY,8096.77,0.11,2,2017-04-25
NY,14898.6,0.12,2,2017-04-27
TX,7063.46,0.11,1,2017-04-27
NY,1595.25,0.11,2,2017-04-28
NY,3026.74,0.09,2,2017-04-29
CA,1634.28,0.06,2,2017-05-01
NY,13441.62,0.1,2,2017-05-01
NY,3247.25,0.14,1,2017-05-02
CA,7184.97,0.09,1,2017-05-03
NY,845.98,0.1,1,2017-05-03
NY,9287.94,0.07,1,2017-05-04
CA,4012.65,0.11,1,2017-05-05
NY,2205.76,0.13,1,2017-05-05
NY,1194.28,0.09,1,2017-05-06
CA,2289.67,0.14,1,2017-05-07
NY,9272.02,0.13,2,2017-05-08
TX,6412.55,0.11,1,2017-05-08
NY,10949.95,0.11,1,2017-05-09
NY,14611.52,0.08,2,2017-05-11
CA,5984.98,0.05,1,2017-05-13
NY,11993.97,0.08,1,2017-05-13
TX,5188.48,0.09,1,2017-05-13
NY,1805.97,0.15,1,2017-05-14
TX,989.98,0.1,1,2017-05-14
NY,28710.42,0.09,3,2017-05-15
NY,1829.96,0.11,2,2017-05-16
NY,418.49,0.07,1,2017-05-18
TX,2136.53,0.05,1,2017-05-19
CA,839.78,0.05,1,2017-05-20
NY,27244.06,0.12,3,2017-05-20
NY,11957.23,0.11,2,2017-05-21
NY,5887.34,0.06,1,2017-05-22
CA,14141.34,0.14,1,2017-05-23
NY,18819.27,0.13,2,2017-05-23
CA,527.28,0.07,1,2017-05-24
NY,2282.97,0.13,1,2017-05-25
CA,1056.79,0.2,1,2017-05-26
NY,4639.34,0.09,2,2017-05-26
CA,2747.24,0.13,1,2017-05-27
NY,1422.96,0.08,1,2017-05-27
CA,3167.96,0.11,1,2017-05-28
NY,4565.96,0.12,2,2017-05-28
CA,1367.09,0.07,1,2017-05-29
CA,7143.66,0.12,1,2017-05-30
NY,9313.85,0.07,2,2017-05-30
NY,5459.91,0.13,3,2017-05-31
NY,5925.47,0.14,1,2017-06-02
TX,1226.38,0.2,1,2017-06-02
CA,13588.92,0.13,2,2017-06-03
CA,912.27,0.13,1,2017-06-05
NY,7350.46,0.12,1,2017-06-05
TX,24607.03,0.08,1,2017-06-05
NY,9267.93,0.11,3,2017-06-07
NY,16861.75,0.09,1,2017-06-09
NY,1096.18,0.09,1,2017-06-10
TX,2061.75,0.1,1,2017-06-10
NY,31918.27,0.1,3,2017-06-11
CA,5467.6,0.11,2,2017-06-12
NY,5245.99,0.1,2,2017-06-13
CA,5299.53,0.13,1,2017-06-14
NY,32287.15,0.11,2,2017-06-14
CA,5226.66,0.06,1,2017-06-15
NY,3159.93,0.18,1,2017-06-15
CA,10529.96,0.08,1,2017-06-16
NY,26278.9,0.09,4,2017-06-16
NY,19627.63,0.12,3,2017-06-17
TX,3292.0,0.06,1,2017-06-17
CA,6089.98,0.15,1,2017-06-18
NY,8034.51,0.09,2,2017-06-18
CA,9605.98,0.12,1,2017-06-19
NY,4253.77,0.07,2,2017-06-19
NY,897.97,0.17,2,2017-06-20
TX,877.98,0.06,1,2017-06-20
NY,14928.43,0.12,2,2017-06-21
TX,1101.68,0.15,1,2017-06-21
NY,9161.95,0.1,1,2017-06-22
TX,6782.34,0.09,1,2017-06-22
NY,3646.98,0.14,1,2017-06-23
NY,20177.75,0.08,1,2017-06-24
TX,1277.97,0.15,1,2017-06-24
NY,753.58,0.2,1,2017-06-25
TX,2474.97,0.09,1,2017-06-25
NY,12199.73,0.1,3,2017-06-26
TX,27950.85,0.09,3,2017-06-26
NY,9746.7,0.13,2,2017-06-27
NY,7670.78,0.09,2,2017-06-30
CA,14904.62,0.12,1,2017-07-02
NY,5373.31,0.1,2,2017-07-02
NY,2452.95,0.13,1,2017-07-04
